seller_id,category,cohort_month,first_sale_date,last_sale_date,total_sales,total_gmv,velocity,delivery_sla,avg_review,days_since_last,health_score,at_risk,second_sale_30d,active_30_90,fifth_sale
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,2017-09,2017-09-26 22:17:05,2017-10-18 08:16:34,3,2685.0,0.06158357771260997,1.0,3.6666666666666665,320,47.4,True,True,False,False
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,2017-02,2017-02-04 19:06:04,2018-07-12 21:38:26,200,25080.03,2.4347826086956523,0.9444444444444444,3.902542372881356,52,71.1,False,True,True,True
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,2017-09,2017-09-14 01:00:31,2018-04-12 12:58:23,51,1234.5,1.0084745762711864,0.8333333333333334,3.982142857142857,143,58.7,False,True,True,True
003554e2dce176b5555353e4f3555ac8,unknown,2017-12,2017-12-15 06:52:25,2017-12-15 06:52:25,1,120.0,0.026717557251908396,1.0,5.0,262,56.9,False,False,False,False
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,2017-01,2017-01-27 10:34:34,2018-05-03 11:13:38,158,19712.71,1.897084048027444,0.9226190476190477,4.132947976878612,122,66.0,False,True,True,True
00720abe85ba0859807595bbf045a33b,housewares,2018-01,2018-01-27 13:46:31,2018-08-03 16:57:01,13,1007.5,0.41743119266055045,0.9230769230769231,3.6538461538461537,30,62.1,False,True,True,True
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,2017-03,2017-03-18 11:40:26,2017-03-18 11:40:26,1,98.0,0.013133208255159476,1.0,5.0,533,43.0,True,False,False,False
00d8b143d12632bad99c0ad66ad52825,fashion_bags_accessories,2018-03,2018-03-21 11:17:37,2018-03-21 11:17:37,1,86.0,0.04242424242424242,1.0,5.0,165,61.9,False,False,False,False
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,2017-09,2017-09-19 01:02:44,2018-08-09 20:45:10,135,20260.0,2.707736389684814,0.9186046511627907,4.3313953488372094,24,75.3,False,True,True,True
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,2018-01,2018-01-31 15:33:18,2018-06-13 16:19:00,103,12684.9,3.3691588785046727,0.9555555555555556,3.7375886524822697,81,72.9,False,True,True,True
010543a62bd80aa422851e79a3bc7540,computers_accessories,2017-07,2017-07-04 17:54:07,2017-08-02 13:49:39,2,1416.0,0.03294117647058824,1.0,4.5,396,47.6,True,True,False,False
011b0eaba87386a2ae96a7d32bb531d1,health_beauty,2016-10,2016-10-06 07:08:15,2016-10-06 07:08:15,1,99.98,0.010043041606886658,1.0,4.0,697,35.0,True,False,False,False
013900e863eace745d3ec7614cab5b1a,fashion_shoes,2017-03,2017-03-04 10:02:28,2018-04-13 16:35:16,23,1619.7,0.2943327239488117,1.0,4.730769230769231,142,62.8,False,True,False,True
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,2017-01,2017-01-26 00:20:22,2018-07-04 23:17:21,14,7058.0,0.16752136752136754,0.8666666666666667,3.6666666666666665,60,58.5,False,True,True,True
014d9a685fd57276679edd00e07089e5,stationery,2017-11,2017-11-21 13:22:00,2018-08-17 13:13:21,11,729.88,0.27017543859649124,1.0,3.8333333333333335,16,64.7,False,False,True,True
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,2017-11,2017-11-16 17:42:52,2018-08-13 17:54:44,38,4733.1,0.9172413793103448,0.8947368421052632,4.0256410256410255,20,66.0,False,True,True,True
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,2017-08,2017-08-12 16:25:03,2018-02-02 10:03:35,11,1521.21,0.19948186528497408,1.0,4.4,212,57.2,False,False,True,True
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,2017-04,2017-04-13 23:47:01,2018-07-31 19:13:20,9,577.5,0.1242603550295858,1.0,4.083333333333333,33,64.5,False,True,True,True
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,2016-10,2016-10-06 18:03:01,2018-02-26 09:41:21,61,9729.36,0.6135057471264368,0.9538461538461539,4.212121212121212,188,58.3,False,False,False,True
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,2017-08,2017-08-04 10:33:43,2017-11-08 20:24:38,5,1465.99,0.08883248730964467,1.0,5.0,298,55.3,False,True,True,True
01fd077212124329bac32490e8ef80d9,health_beauty,2018-04,2018-04-16 10:44:09,2018-08-24 17:52:59,31,1208.0,1.5611510791366907,0.9743589743589743,4.3076923076923075,9,72.3,False,True,True,True
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,2017-04,2017-04-26 15:57:39,2018-08-20 21:50:59,129,14921.43,1.8279352226720649,0.9384615384615385,4.346153846153846,13,72.7,False,True,True,True
